Name,Year,Target,shear_200_850,shear_500_850,shear_200_500,shear_300_800,shear_850_1000,RH_avg,SST_avg,ROCI,v_0,Lat,RMW
LARRY,2003,0,27.756197574768063,18.12422953033447,15.0556161794281,24.38338187286377,11.965557255630491,80.33573913574219,28.604089355468773,175.0,45.0,20.5,32.45761081924855
EARL,2004,0,16.8462858303833,9.585118129501344,9.570505627593992,11.55638773742676,7.850624812393188,82.83064270019531,28.7150817871094,100.0,35.0,10.5,18.80773083018202
LESTER,2004,0,17.039953155059816,16.779436298980713,17.40805473022461,11.99825997001648,6.383195011749268,87.67985534667969,29.230157470703148,90.0,30.0,15.7,20.638918412029255
IVAN,2004,1,26.04586656021118,13.920647908859252,20.79090870651245,21.09726979629517,9.570001396636965,81.93119049072266,28.815698242187523,180.0,50.0,8.9,24.822678295422396
FRANCES,2004,1,13.872757090682985,12.114295192108154,18.77749595718384,9.702047805404662,6.177995721168518,81.43096923828125,28.806512451171898,200.0,35.0,11.5,43.22300045598813
JEANNE,2004,1,20.378948307037355,10.236020973739624,21.805224890289303,14.151682084274292,6.096072557525635,81.5101547241211,28.478448486328148,150.0,25.0,16.0,44.66392666806773
MATTHEW,2004,0,31.72674570800781,19.54245695617676,21.73763940414429,30.69366916656494,7.934526433715821,80.22970581054688,29.074884033203148,200.0,30.0,24.0,58.946487706747156
GASTON,2004,0,27.05662161285401,7.56421653087616,23.786607851104737,15.71183662109375,8.931938830795287,74.21064758300781,28.569360351562523,130.0,55.0,31.5,19.815104410485773
ESTELLE,2004,0,27.63040863510132,10.570187990875244,25.587596625671388,17.840922176513672,9.435089954986571,90.28012084960938,26.779656982421898,90.0,55.0,14.3,10.745430245375768
BONNIE,2004,0,22.28688038925171,14.4528071434021,13.794263902511595,16.512850133514405,5.235067147407531,64.47449493408203,30.13497314453128,70.0,40.0,25.2,12.427067601812274
EMILY,2005,1,21.111718237762453,11.212334456710815,16.750546831207277,17.474757812194824,5.43880101676941,83.74568939208984,29.000268554687523,163.0,45.0,11.1,25.797783524344354
RITA,2005,1,30.66669281036377,12.57592697532654,28.31178408401489,16.601908072509765,8.67366413406372,76.9082260131836,30.091180419921898,120.0,60.0,23.2,15.058000690092989
WILMA,2005,1,18.95188200912476,11.341514905700684,19.396691572418213,13.135207161712646,5.923274740409851,84.16546630859375,29.050164794921898,120.0,45.0,16.0,19.19649618665007
GERT,2005,0,26.66438183441162,12.6152486479187,22.93200126159668,19.87317499649048,7.796961291275024,90.38658905029295,28.953240966796898,125.0,35.0,21.0,27.728379539653204
